NO,DATE,PRICE (PHP per kg),MANUFACTURING PARTNER,COCONUT VARIETY,CLIMATE SEASON,HARVEST SEASON,QUANTITY SOLD
114,1/19/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,24.9
115,1/20/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,23.1
116,1/20/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,21.1
117,1/20/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,21.6
118,1/20/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,23.3
119,1/20/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,20.5
120,1/20/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,23.5
121,1/21/2017,,RGS,,DRY,,
122,1/21/2017,,LASWERTE,,DRY,,
123,1/21/2017,,BANGAYAN,,DRY,,
124,1/21/2017,,ASIACOM,,DRY,,
125,1/21/2017,,CARGILL,,DRY,,
126,1/21/2017,,PHIDCO,,DRY,,
127,1/22/2017,,RGS,,DRY,,
128,1/22/2017,,LASWERTE,,DRY,,
129,1/22/2017,,BANGAYAN,,DRY,,
130,1/22/2017,,ASIACOM,,DRY,,
131,1/22/2017,,CARGILL,,DRY,,
132,1/22/2017,,PHIDCO,,DRY,,
133,1/23/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,23.8
134,1/23/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,22.7
135,1/23/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,22.5
136,1/23/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,25.0
137,1/23/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,22.6
138,1/23/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,25.1
139,1/24/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,22.2
140,1/24/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,20.6
141,1/24/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,25.2
142,1/24/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,20.9
143,1/24/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,23.2
144,1/24/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,23.9
145,1/25/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,23.2
146,1/25/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,23.0
147,1/25/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,24.3
148,1/25/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,25.0
149,1/25/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,23.9
150,1/25/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,23.8
151,1/26/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,23.7
152,1/26/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,22.0
153,1/26/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,24.0
154,1/26/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,23.4
155,1/26/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,22.9
156,1/26/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,25.4
157,1/27/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,23.6
158,1/27/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,24.5
159,1/27/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,24.9
160,1/27/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,22.3
161,1/27/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,23.7
162,1/27/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,22.8
163,1/28/2017,,RGS,,DRY,,
164,1/28/2017,,LASWERTE,,DRY,,
165,1/28/2017,,BANGAYAN,,DRY,,
166,1/28/2017,,ASIACOM,,DRY,,
167,1/28/2017,,CARGILL,,DRY,,
168,1/28/2017,,PHIDCO,,DRY,,
169,1/29/2017,,RGS,,DRY,,
170,1/29/2017,,LASWERTE,,DRY,,
171,1/29/2017,,BANGAYAN,,DRY,,
172,1/29/2017,,ASIACOM,,DRY,,
173,1/29/2017,,CARGILL,,DRY,,
174,1/29/2017,,PHIDCO,,DRY,,
175,1/30/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,20.9
176,1/30/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,22.8
177,1/30/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,20.6
178,1/30/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,22.5
179,1/30/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,25.5
180,1/30/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,21.6
181,1/31/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,20.7
182,1/31/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,21.9
183,1/31/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,24.6
184,1/31/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,24.8
185,1/31/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,21.9
186,1/31/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,24.0
187,2/1/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,23.7
188,2/1/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,24.4
189,2/1/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,29.1
190,2/1/2017,PHP 46.56,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,28.3
191,2/1/2017,PHP 46.56,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,27.9
192,2/1/2017,PHP 48.44,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,26.9
193,2/2/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,25.8
